Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.108922864318346,0.0847241760555163,-0.123403521783607,0,0,0,3.90118326560914,0.0186236720310461,-3.31789538660945E-07,-1.46573682201631E-06,0.0179160741187242,-8.06514530953854E-06,0.00875282674130429,0,0,0,0,0,0,package://modelball/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://modelball/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,-0.015694,0.017418,0.0073567,0,0,0,0.26437,6.2915E-05,2.9641E-09,1.6485E-08,6.2207E-05,1.5645E-07,3.2075E-05,0,0,0,0,0,0,package://modelball/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://modelball/meshes/LFS.STL,,left_sus-1,Origin_LFS,Axis_LFS,LFS,prismatic,0.24112,0.018826,0,0,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
LFW,0.015,1.7347E-18,-3.4694E-18,0,0,0,0.23932,0.00030041,-7.4821E-37,-1.7791E-38,0.00016815,-1.541E-36,0.00016815,0,0,0,0,0,0,package://modelball/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://modelball/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0.014801,0.0046744,0.050633,1.5708,-1.5708,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.015685,0.017931,0.0073567,0,0,0,0.26437,6.2915E-05,2.9641E-09,-1.6485E-08,6.2207E-05,-1.5645E-07,3.2075E-05,0,0,0,0,0,0,package://modelball/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://modelball/meshes/RFS.STL,,right_sus-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.025117,0.054174,0,3.1416,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RFW,-0.015,6.7654E-17,4.5103E-17,0,0,0,0.23932,0.00030041,-2.4108E-37,9.0565E-37,0.00016815,-1.6941E-21,0.00016815,0,0,0,0,0,0,package://modelball/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://modelball/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,0.014799,0.030674,0.050633,1.64,1.5708,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0023416,0.011605,0.0030325,0,0,0,0.18193,0.00015842,3.541E-07,-1.5136E-20,0.0001879,-4.2486E-20,0.00010696,0,0,0,0,0,0,package://modelball/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://modelball/meshes/LBS.STL,,ball_sus-1,Origin_LBS,Axis_LBS,LBS,prismatic,0.28235,0.22575,0,3.1416,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RBS,0.0023416,0.011605,0.0030325,0,0,0,0.18193,0.00015842,3.541E-07,1.4744E-21,0.0001879,-7.5198E-21,0.00010696,0,0,0,0,0,0,package://modelball/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://modelball/meshes/RBS.STL,,ball_sus-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.06635,0.20125,0,3.1416,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
fcam,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8579E-10,-1.0181E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://modelball/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modelball/meshes/fcam.STL,,Webcam_C920-1,Origin_fcam,,fcam,fixed,0.058161,0.080277,0.092507,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
bcam,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8548E-10,-1.0183E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://modelball/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modelball/meshes/bcam.STL,,Webcam_C920-2,Origin_bcam,,bcam,fixed,0.058161,0.11013,0.12322,2.3562,0,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://modelball/meshes/Lidar.STL,1,1,1,1,0,0,0,0,0,0,package://modelball/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,0.24092,0.09856,-0.54869,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
